"","plot","treat","background","focal","num_comp","num_seeds","fruit_date"
"1",402,"D","ACWR","SACO",9,44,"1-Jun"
"2",404,"D","HOMU","SACO",16,28,"25-May"
"3",405,"D","FEMI","SACO",22,12,"25-May"
"4",405,"D","FEMI","SACO",55,8,"1-Jun"
"5",405,"D","FEMI","SACO",75,292,"19-Jun"
"6",407,"W","HOMU","SACO",14,104,"1-Jun"
"7",407,"W","HOMU","SACO",11,64,"1-Jun"
"8",407,"W","HOMU","SACO",6,952,"19-Jun"
"9",407,"W","HOMU","SACO",15,20,"1-Jun"
"10",407,"W","HOMU","SACO",7,428,"1-Jun"
"11",407,"W","HOMU","SACO",18,248,"19-Jun"
"12",408,"W","PLER","SACO",45,52,"1-Jun"
"13",408,"W","PLER","SACO",48,76,"1-Jun"
"14",408,"W","PLER","SACO",35,4,"1-Jun"
"15",408,"W","PLER","SACO",55,28,"1-Jun"
"16",408,"W","PLER","SACO",25,104,"1-Jun"
"17",409,"W","FEMI","SACO",65,12,"1-Jun"
"18",411,"D","FEMI","SACO",48,20,"1-Jun"
"19",411,"D","FEMI","SACO",27,64,"25-May"
"20",411,"D","FEMI","SACO",45,28,"1-Jun"
"21",411,"D","FEMI","SACO",35,12,"1-Jun"
"22",412,"D","SACO","SACO",90,12,"1-Jun"
"23",412,"D","SACO","SACO",90,28,"1-Jun"
"24",412,"D","SACO","SACO",90,12,"1-Jun"
"25",412,"D","SACO","SACO",90,12,"1-Jun"
"26",412,"D","SACO","SACO",90,44,"1-Jun"
"27",413,"D","HOMU","SACO",24,152,"1-Jun"
"28",413,"D","HOMU","SACO",20,120,"1-Jun"
"29",414,"D","PLER","SACO",100,36,"1-Jun"
"30",414,"D","PLER","SACO",55,52,"1-Jun"
"31",416,"W","SACO","SACO",100,52,"1-Jun"
"32",416,"W","SACO","SACO",100,92,"1-Jun"
"33",416,"W","SACO","SACO",100,316,"1-Jun"
"34",416,"W","SACO","SACO",100,52,"1-Jun"
"35",416,"W","SACO","SACO",100,160,"1-Jun"
"36",416,"W","SACO","SACO",100,92,"1-Jun"
"37",416,"W","SACO","SACO",100,44,"1-Jun"
"38",416,"W","SACO","SACO",100,52,"1-Jun"
"39",416,"W","SACO","SACO",100,36,"1-Jun"
"40",416,"W","SACO","SACO",35,92,"1-Jun"
"41",416,"W","SACO","SACO",35,52,"1-Jun"
"42",416,"W","SACO","SACO",35,64,"1-Jun"
"43",416,"W","SACO","SACO",35,28,"1-Jun"
"44",416,"W","SACO","SACO",35,28,"1-Jun"
"45",418,"W","FEMI","SACO",17,36,"1-Jun"
"46",419,"W","PLER","SACO",60,36,"25-May"
"47",419,"W","PLER","SACO",90,52,"1-Jun"
"48",421,"D","SACO","SACO",80,104,"19-Jun"
"49",421,"D","SACO","SACO",80,3520,"19-Jun"
"50",421,"D","SACO","SACO",80,916,"19-Jun"
"51",421,"D","HOMU","SACO",13,20,"1-Jun"
"52",421,"D","HOMU","SACO",6,36,"1-Jun"
"53",421,"D","HOMU","SACO",7,36,"1-Jun"
"54",421,"D","HOMU","SACO",10,64,"1-Jun"
"55",421,"D","HOMU","SACO",10,76,"1-Jun"
"56",421,"D","HOMU","SACO",6,136,"1-Jun"
"57",424,"D","ACWR","SACO",8,352,"1-Jun"
"58",424,"D","ACWR","SACO",10,728,"1-Jun"
"59",424,"D","ACWR","SACO",8,260,"6/1/19"
"60",425,"D","FEMI","SACO",120,12,"1-Jun"
"61",425,"D","FEMI","SACO",15,428,"1-Jun"
"62",426,"W","PLER","SACO",29,36,"1-Jun"
"63",426,"W","PLER","SACO",10,28,"1-Jun"
"64",427,"W","HOMU","SACO",4,76,"1-Jun"
"65",427,"W","HOMU","SACO",2,4448,"19-Jun"
"66",428,"W","URLI","SACO",200,36,"1-Jun"
"67",428,"W","URLI","SACO",200,512,"19-Jun"
"68",430,"W","SACO","SACO",33,120,"1-Jun"
"69",430,"W","SACO","SACO",33,104,"1-Jun"
"70",430,"W","SACO","SACO",33,104,"1-Jun"
"71",430,"W","SACO","SACO",33,76,"1-Jun"
"72",430,"W","SACO","SACO",33,44,"1-Jun"
"73",430,"W","SACO","SACO",120,192,"1-Jun"
"74",430,"W","SACO","SACO",120,20,"1-Jun"
"75",430,"W","SACO","SACO",120,120,"1-Jun"
"76",430,"W","SACO","SACO",120,92,"1-Jun"
"77",430,"W","SACO","SACO",120,44,"1-Jun"
"78",431,"D","URLI","SACO",60,92,"1-Jun"
"79",433,"D","HOMU","SACO",1,52,"1-Jun"
"80",433,"D","HOMU","SACO",5,20,"1-Jun"
"81",435,"D","PLER","SACO",80,44,"1-Jun"
"82",435,"D","PLER","SACO",75,36,"1-Jun"
"83",435,"D","PLER","SACO",75,64,"1-Jun"
"84",436,"W","URLI","SACO",100,244,"1-Jun"
"85",436,"W","URLI","SACO",60,408,"1-Jun"
"86",437,"W","ACWR","SACO",45,76,"1-Jun"
"87",444,"D","URLI","SACO",75,92,"1-Jun"
"88",444,"D","URLI","SACO",100,52,"1-Jun"
"89",444,"D","URLI","SACO",50,76,"1-Jun"
"90",444,"D","URLI","SACO",75,328,"1-Jun"
"91",445,"D","SACO","SACO",35,64,"1-Jun"
"92",445,"D","SACO","SACO",35,344,"1-Jun"
"93",445,"D","SACO","SACO",35,52,"1-Jun"
"94",445,"D","SACO","SACO",35,400,"1-Jun"
"95",447,"W","ACWR","SACO",13,256,"25-May"
"96",447,"W","ACWR","SACO",44,104,"1-Jun"
"97",452,"D","ACWR","SACO",70,28,"19-Jun"
"98",452,"D","ACWR","SACO",33,52,"1-Jun"
"99",453,"D","SACO","SACO",17,8,"1-Jun"
"100",453,"D","SACO","SACO",17,52,"1-Jun"
"101",453,"D","SACO","SACO",17,8,"1-Jun"
"102",453,"D","SACO","SACO",17,36,"1-Jun"
"103",456,"W","URLI","SACO",13,3584,"20-Jun"
"104",456,"W","URLI","SACO",40,1952,"20-Jun"
"105",456,"W","URLI","SACO",27,592,"20-Jun"
"106",457,"W","ACWR","SACO",12,1040,"1-Jun"
"107",459,"W","FEMI","SACO",60,52,"1-Jun"
"108",459,"W","FEMI","SACO",40,20,"1-Jun"
"109",462,"D","ACWR","SACO",25,92,"1-Jun"
"110",462,"D","ACWR","SACO",10,120,"1-Jun"
"111",464,"D","FEMI","SACO",120,12,"1-Jun"
"112",464,"D","FEMI","SACO",100,76,"1-Jun"
"113",464,"D","FEMI","SACO",100,8,"1-Jun"
"114",464,"D","FEMI","SACO",180,8,"1-Jun"
"115",467,"W","PLER","SACO",100,64,"1-Jun"
"116",467,"W","PLER","SACO",24,188,"9-Jun"
"117",467,"W","PLER","SACO",100,20,"1-Jun"
"118",467,"W","ACWR","SACO",11,44,"1-Jun"
"119",468,"W","HOMU","SACO",6,52,"1-Jun"
"120",468,"W","HOMU","SACO",6,76,"1-Jun"
"121",470,"W","FEMI","SACO",130,92,"1-Jun"
"122",470,"W","FEMI","SACO",75,104,"1-Jun"
"123",470,"W","FEMI","SACO",65,28,"1-Jun"
"124",470,"W","FEMI","SACO",100,64,"1-Jun"
"125",470,"W","FEMI","SACO",95,52,"1-Jun"
"126",475,"D","HOMU","SACO",28,52,"1-Jun"
"127",475,"D","HOMU","SACO",8,92,"1-Jun"
"128",475,"D","HOMU","SACO",12,84,"1-Jun"
"129",475,"D","HOMU","SACO",8,76,"1-Jun"
"130",475,"D","HOMU","SACO",9,64,"1-Jun"
"131",477,"W","ACWR","SACO",150,312,"1-Jun"
"132",477,"W","HOMU","SACO",10,52,"1-Jun"
"133",477,"W","HOMU","SACO",25,40,"20-Jun"
"134",478,"W","PLER","SACO",110,36,"1-Jun"
"135",478,"W","PLER","SACO",115,52,"1-Jun"
"136",478,"W","PLER","SACO",115,28,"1-Jun"
"137",480,"W","ACWR","SACO",10,8768,"20-Jun"
"138",480,"W","ACWR","SACO",7,620,""
"139",481,"D","PLER","SACO",105,52,"2-Jun"
"140",481,"D","PLER","SACO",73,52,"2-Jun"
"141",482,"D","HOMU","SACO",7,116,"2-Jun"
"142",482,"D","HOMU","SACO",12,44,"2-Jun"
"143",482,"D","HOMU","SACO",11,44,"2-Jun"
"144",482,"D","HOMU","SACO",4,64,"2-Jun"
"145",482,"D","HOMU","SACO",16,52,"2-Jun"
"146",482,"D","HOMU","SACO",16,44,"2-Jun"
"147",483,"D","PLER","SACO",13,72,"20-Jun"
"148",483,"D","ACWR","SACO",11,52,"2-Jun"
"149",485,"D","FEMI","SACO",10,12,"2-Jun"
"150",485,"D","FEMI","SACO",30,64,"2-Jun"
"151",485,"D","FEMI","SACO",21,52,"2-Jun"
"152",485,"D","FEMI","SACO",80,20,"2-Jun"
"153",486,"W","PLER","SACO",85,52,"2-Jun"
"154",486,"W","PLER","SACO",85,52,"2-Jun"
"155",487,"W","FEMI","SACO",80,52,"2-Jun"
"156",487,"W","FEMI","SACO",26,92,"2-Jun"
"157",488,"W","HOMU","SACO",16,12,"2-Jun"
"158",489,"W","SACO","SACO",85,36,"2-Jun"
"159",489,"W","SACO","SACO",85,104,"2-Jun"
"160",489,"W","SACO","SACO",85,52,"2-Jun"
"161",489,"W","SACO","SACO",85,40,"2-Jun"
"162",489,"W","SACO","SACO",48,212,"2-Jun"
"163",489,"W","SACO","SACO",48,816,"2-Jun"
"164",489,"W","SACO","SACO",48,64,"2-Jun"
"165",489,"W","SACO","SACO",48,188,"2-Jun"
"166",491,"D","HOMU","SACO",5,172,"2-Jun"
"167",491,"D","HOMU","SACO",25,228,"2-Jun"
"168",491,"D","HOMU","SACO",11,104,"2-Jun"
"169",491,"D","HOMU","SACO",8,52,"2-Jun"
"170",491,"D","HOMU","SACO",4,120,"2-Jun"
"171",492,"D","FEMI","SACO",80,28,"2-Jun"
"172",492,"D","FEMI","SACO",40,52,"2-Jun"
"173",492,"D","FEMI","SACO",90,12,"2-Jun"
"174",499,"W","HOMU","SACO",8,120,"2-Jun"
"175",499,"W","HOMU","SACO",4,260,"2-Jun"
"176",500,"W","SACO","SACO",160,64,"2-Jun"
"177",500,"W","SACO","SACO",160,92,"2-Jun"
"178",500,"W","SACO","SACO",160,76,"2-Jun"
"179",500,"W","SACO","SACO",160,64,"2-Jun"
"180",500,"W","SACO","SACO",160,64,"2-Jun"
"181",500,"W","SACO","SACO",150,140,"2-Jun"
"182",500,"W","SACO","SACO",150,36,"2-Jun"
"183",500,"W","SACO","SACO",150,64,"2-Jun"
"184",500,"W","SACO","SACO",150,28,"2-Jun"
"185",500,"W","SACO","SACO",150,44,"2-Jun"
"186",501,"D","SACO","SACO",70,216,"2-Jun"
"187",501,"D","SACO","SACO",70,172,"2-Jun"
"188",501,"D","SACO","SACO",70,76,"2-Jun"
"189",501,"D","SACO","SACO",70,64,"2-Jun"
"190",501,"D","SACO","SACO",70,64,"2-Jun"
"191",502,"D","PLER","SACO",60,44,"2-Jun"
"192",502,"D","PLER","SACO",55,40,"2-Jun"
"193",502,"D","PLER","SACO",25,92,"26-May"
"194",502,"D","PLER","SACO",28,172,"26-May"
"195",502,"D","PLER","SACO",46,52,"2-Jun"
"196",504,"D","HOMU","SACO",15,64,"26-May"
"197",504,"D","HOMU","SACO",2,120,"26-May"
"198",504,"D","HOMU","SACO",5,212,"26-May"
"199",505,"D","URLI","SACO",60,104,"2-Jun"
"200",505,"D","URLI","SACO",88,52,"2-Jun"
"201",505,"D","URLI","SACO",64,64,"2-Jun"
"202",505,"D","URLI","SACO",65,28,"2-Jun"
"203",506,"W","SACO","SACO",90,76,"2-Jun"
"204",506,"W","SACO","SACO",90,120,"2-Jun"
"205",506,"W","SACO","SACO",90,76,"2-Jun"
"206",506,"W","SACO","SACO",90,104,"2-Jun"
"207",506,"W","SACO","SACO",90,52,"2-Jun"
"208",507,"W","PLER","SACO",45,52,"2-Jun"
"209",507,"W","PLER","SACO",7,64,"2-Jun"
"210",513,"D","SACO","SACO",60,64,"26-May"
"211",513,"D","SACO","SACO",60,44,"26-May"
"212",515,"D","PLER","SACO",55,12,"2-Jun"
"213",515,"D","SACO","SACO",80,92,"26-May"
"214",515,"D","SACO","SACO",80,64,"26-May"
"215",515,"D","SACO","SACO",80,64,"26-May"
"216",515,"D","SACO","SACO",40,92,"2-Jun"
"217",515,"D","SACO","SACO",40,36,"2-Jun"
"218",515,"D","SACO","SACO",40,92,"2-Jun"
"219",515,"D","SACO","SACO",40,44,"2-Jun"
"220",516,"W","SACO","SACO",70,52,"2-Jun"
"221",516,"W","SACO","SACO",70,268,"2-Jun"
"222",516,"W","SACO","SACO",70,104,"2-Jun"
"223",516,"W","SACO","SACO",70,76,"2-Jun"
"224",516,"W","SACO","SACO",45,92,"26-May"
"225",516,"W","SACO","SACO",45,120,"26-May"
"226",516,"W","SACO","SACO",45,44,"26-May"
"227",518,"W","URLI","SACO",32,212,"26-May"
"228",518,"W","URLI","SACO",38,292,"2-Jun"
"229",519,"W","ACWR","SACO",4,120,"2-Jun"
"230",519,"W","ACWR","SACO",20,684,"2-Jun"
"231",519,"W","ACWR","SACO",21,64,"2-Jun"
"232",520,"W","ACWR","SACO",26,212,"2-Jun"
"233",520,"W","ACWR","SACO",28,64,"2-Jun"
"234",520,"W","ACWR","SACO",9,692,"2-Jun"
"235",522,"D","URLI","SACO",28,104,"2-Jun"
"236",522,"D","URLI","SACO",17,624,"9-Jun"
"237",524,"D","ACWR","SACO",24,64,"2-Jun"
"238",525,"D","SACO","SACO",4,64,"2-Jun"
"239",525,"D","SACO","SACO",4,584,"2-Jun"
"240",525,"D","SACO","SACO",4,120,"2-Jun"
"241",525,"D","SACO","SACO",35,76,"2-Jun"
"242",525,"D","SACO","SACO",35,52,"2-Jun"
"243",525,"D","SACO","SACO",35,36,"2-Jun"
"244",525,"D","SACO","SACO",35,76,"2-Jun"
"245",525,"D","SACO","SACO",35,52,"2-Jun"
"246",525,"D","SACO","SACO",3,120,"2-Jun"
"247",525,"D","SACO","SACO",3,344,"2-Jun"
"248",526,"W","FEMI","SACO",100,64,"26-May"
"249",528,"W","URLI","SACO",45,1432,"20-Jun"
"250",530,"W","ACWR","SACO",18,188,"2-Jun"
"251",531,"D","ACWR","SACO",9,52,"2-Jun"
"252",531,"D","ACWR","SACO",8,76,"2-Jun"
"253",533,"D","URLI","SACO",3,364,"20-Jun"
"254",537,"W","HOMU","SACO",20,52,"2-Jun"
"255",538,"W","ACWR","SACO",12,120,"2-Jun"
"256",451,"D",NA,"SACO",0,292,"26-May"
"257",442,"D",NA,"SACO",0,300,"2-Jun"
"258",442,"D",NA,"SACO",0,104,"2-Jun"
"259",511,"D",NA,"SACO",0,804,"9-Jun"
"260",448,"W",NA,"SACO",0,656,"21-Jun"
"261",448,"W",NA,"SACO",0,572,""
"262",451,"D",NA,"SACO",0,6800,""
"263",508,"W",NA,"SACO",0,1240,""
"264",508,"W",NA,"SACO",0,664,""
"265",511,"D",NA,"SACO",0,324,""
"266",511,"D",NA,"SACO",0,1464,""
"267",521,"D",NA,"SACO",0,644,""
"268",529,"W",NA,"SACO",0,2832,""
"269",529,"W",NA,"SACO",0,1360,""
"270",529,"W",NA,"SACO",0,2412,""
"271",532,"D",NA,"SACO",0,1504,""
"272",532,"D",NA,"SACO",0,2340,""
"273",532,"D",NA,"SACO",0,2048,""
"274",532,"D",NA,"SACO",0,5312,""
"275",402,"D","ACWR","ACWR",6,1155,"19-Jun"
"276",402,"D","ACWR","ACWR",3,221.375,"19-Jun"
"277",402,"D","ACWR","ACWR",12,1819.125,"19-Jun"
"278",402,"D","ACWR","ACWR",11,895.125,"19-Jun"
"279",404,"D","HOMU","ACWR",24,24.0625,"9-Jun"
"280",404,"D","HOMU","ACWR",22,14.4375,"9-Jun"
"281",405,"D","FEMI","ACWR",75,255.0625,"9-Jun"
"282",405,"D","FEMI","ACWR",80,9.625,"9-Jun"
"283",405,"D","FEMI","ACWR",56,4.8125,"19-Jun"
"284",407,"W","HOMU","ACWR",24,14.4375,"9-Jun"
"285",407,"W","HOMU","ACWR",6,717.0625,"19-Jun"
"286",407,"W","HOMU","ACWR",15,125.125,"19-Jun"
"287",408,"W","PLER","ACWR",60,14.4375,"19-Jun"
"288",408,"W","PLER","ACWR",29,81.8125,"19-Jun"
"289",409,"W","FEMI","ACWR",39,72.1875,"9-Jun"
"290",409,"W","FEMI","ACWR",100,4.8125,"9-Jun"
"291",409,"W","FEMI","ACWR",65,9.625,"9-Jun"
"292",410,"W","SACO","ACWR",13,2136.75,"19-Jun"
"293",411,"D","FEMI","ACWR",57,24.0625,"9-Jun"
"294",411,"D","FEMI","ACWR",19,120.3125,"25-May"
"295",412,"D","SACO","ACWR",50,264.6875,"19-Jun"
"296",413,"D","HOMU","ACWR",5,1097.25,"19-Jun"
"297",413,"D","HOMU","ACWR",9,466.8125,"19-Jun"
"298",413,"D","HOMU","ACWR",9,168.4375,"19-Jun"
"299",414,"D","PLER","ACWR",43,206.9375,"19-Jun"
"300",416,"W","SACO","ACWR",100,2271.5,"19-Jun"
"301",416,"W","SACO","ACWR",175,2098.25,"19-Jun"
"302",416,"W","SACO","ACWR",80,1116.5,"19-Jun"
"303",416,"W","SACO","ACWR",22,2714.25,"19-Jun"
"304",416,"W","SACO","ACWR",40,481.25,"19-Jun"
"305",418,"W","FEMI","ACWR",50,1010.625,"19-Jun"
"306",418,"W","FEMI","ACWR",35,500.5,"19-Jun"
"307",419,"W","PLER","ACWR",9,197.3125,"19-Jun"
"308",419,"W","PLER","ACWR",27,4.8125,"9-Jun"
"309",421,"D","HOMU","ACWR",4,481.25,"9-Jun"
"310",421,"D","HOMU","ACWR",9,158.8125,"19-Jun"
"311",421,"D","HOMU","ACWR",15,72.1875,"19-Jun"
"312",421,"D","HOMU","ACWR",10,77,"19-Jun"
"313",421,"D","HOMU","ACWR",10,33.6875,"19-Jun"
"314",424,"D","ACWR","ACWR",7,1232,"9-Jun"
"315",424,"D","ACWR","ACWR",7,875.875,"9-Jun"
"316",424,"D","ACWR","ACWR",7,866.25,"9-Jun"
"317",424,"D","ACWR","ACWR",7,577.5,"9-Jun"
"318",425,"D","FEMI","ACWR",3,120.3125,"9-Jun"
"319",425,"D","FEMI","ACWR",14,2579.5,"19-Jun"
"320",425,"D","FEMI","ACWR",50,158.8125,"9-Jun"
"321",425,"D","FEMI","ACWR",45,52.9375,"19-Jun"
"322",426,"W","PLER","ACWR",45,62.5625,"9-Jun"
"323",426,"W","PLER","ACWR",55,57.75,"9-Jun"
"324",426,"W","PLER","ACWR",23,163.625,"1-Jun"
"325",426,"W","PLER","ACWR",24,38.5,"9-Jun"
"326",426,"W","PLER","ACWR",18,110.6875,"1-Jun"
"327",427,"W","HOMU","ACWR",3,693,"9-Jun"
"328",427,"W","HOMU","ACWR",3,264.6875,"9-Jun"
"329",428,"W","URLI","ACWR",41,914.375,"19-Jun"
"330",428,"W","URLI","ACWR",160,351.3125,"19-Jun"
"331",428,"W","URLI","ACWR",160,895.125,"19-Jun"
"332",428,"W","URLI","ACWR",200,380.1875,"19-Jun"
"333",430,"W","SACO","ACWR",20,192.5,"19-Jun"
"334",430,"W","SACO","ACWR",31,842.1875,"19-Jun"
"335",430,"W","SACO","ACWR",33,702.625,"19-Jun"
"336",430,"W","SACO","ACWR",70,356.125,"19-Jun"
"337",430,"W","SACO","ACWR",7,1251.25,"19-Jun"
"338",430,"W","SACO","ACWR",80,1463,"19-Jun"
"339",431,"D","URLI","ACWR",95,1309,"19-Jun"
"340",431,"D","URLI","ACWR",34,308,"19-Jun"
"341",431,"D","URLI","ACWR",27,2040.5,"19-Jun"
"342",431,"D","URLI","ACWR",70,885.5,"19-Jun"
"343",431,"D","URLI","ACWR",110,981.75,"19-Jun"
"344",431,"D","URLI","ACWR",150,871.0625,"9-Jun"
"345",433,"D","PLER","ACWR",80,52.9375,"9-Jun"
"346",433,"D","PLER","ACWR",25,28.875,"19-Jun"
"347",433,"D","PLER","ACWR",85,105.875,"19-Jun"
"348",433,"D","HOMU","ACWR",8,409.0625,"9-Jun"
"349",435,"D","PLER","ACWR",85,38.5,"9-Jun"
"350",435,"D","PLER","ACWR",26,81.8125,"9-Jun"
"351",436,"W","URLI","ACWR",5,1655.5,"19-Jun"
"352",436,"W","URLI","ACWR",23,1867.25,"19-Jun"
"353",436,"W","URLI","ACWR",23,563.0625,"19-Jun"
"354",436,"W","URLI","ACWR",55,519.75,"19-Jun"
"355",444,"D","URLI","ACWR",100,673.75,"19-Jun"
"356",444,"D","URLI","ACWR",80,4312,"19-Jun"
"357",445,"D","SACO","ACWR",45,2502.5,"19-Jun"
"358",445,"D","SACO","ACWR",60,2194.5,"19-Jun"
"359",445,"D","SACO","ACWR",60,481.25,"19-Jun"
"360",445,"D","SACO","ACWR",50,2367.75,"19-Jun"
"361",445,"D","SACO","ACWR",80,712.25,"19-Jun"
"362",445,"D","SACO","ACWR",90,981.75,"19-Jun"
"363",445,"D","SACO","ACWR",35,3850,"19-Jun"
"364",447,"W","ACWR","ACWR",40,452.375,"9-Jun"
"365",447,"W","ACWR","ACWR",40,101.0625,"9-Jun"
"366",447,"W","ACWR","ACWR",40,293.5625,"9-Jun"
"367",447,"W","ACWR","ACWR",40,96.25,"9-Jun"
"368",447,"W","ACWR","ACWR",40,96.25,"9-Jun"
"369",447,"W","ACWR","ACWR",21,38.5,"9-Jun"
"370",447,"W","ACWR","ACWR",21,105.875,"9-Jun"
"371",447,"W","ACWR","ACWR",21,139.5625,"9-Jun"
"372",447,"W","ACWR","ACWR",21,187.6875,"9-Jun"
"373",449,"W","SACO","ACWR",60,616,"19-Jun"
"374",452,"D","ACWR","ACWR",55,72.1875,"9-Jun"
"375",452,"D","ACWR","ACWR",55,635.25,"9-Jun"
"376",452,"D","ACWR","ACWR",55,125.125,"9-Jun"
"377",452,"D","ACWR","ACWR",55,28.875,"9-Jun"
"378",452,"D","ACWR","ACWR",55,57.75,"9-Jun"
"379",454,"D","URLI","ACWR",4,158.8125,"19-Jun"
"380",456,"W","URLI","ACWR",28,3388,"19-Jun"
"381",456,"W","URLI","ACWR",20,2233,"19-Jun"
"382",456,"W","URLI","ACWR",23,4812.5,"19-Jun"
"383",457,"W","ACWR","ACWR",28,433.125,"20-Jun"
"384",457,"W","ACWR","ACWR",28,413.875,"20-Jun"
"385",457,"W","ACWR","ACWR",28,192.5,"20-Jun"
"386",457,"W","ACWR","ACWR",28,1443.75,"20-Jun"
"387",457,"W","ACWR","ACWR",6,1443.75,"20-Jun"
"388",457,"W","ACWR","ACWR",6,712.25,"20-Jun"
"389",459,"W","FEMI","ACWR",115,154,"20-Jun"
"390",459,"W","FEMI","ACWR",35,62.5625,"9-Jun"
"391",462,"D","ACWR","ACWR",21,163.625,"9-Jun"
"392",462,"D","ACWR","ACWR",21,240.625,"9-Jun"
"393",462,"D","ACWR","ACWR",21,120.3125,"9-Jun"
"394",462,"D","ACWR","ACWR",21,1145.375,"9-Jun"
"395",462,"D","ACWR","ACWR",21,346.5,"9-Jun"
"396",462,"D","ACWR","ACWR",21,77,"9-Jun"
"397",462,"D","ACWR","ACWR",21,173.25,"9-Jun"
"398",462,"D","ACWR","ACWR",21,168.4375,"9-Jun"
"399",462,"D","ACWR","ACWR",21,173.25,"9-Jun"
"400",462,"D","ACWR","ACWR",21,211.75,"9-Jun"
"401",464,"D","FEMI","ACWR",120,211.75,"9-Jun"
"402",464,"D","FEMI","ACWR",100,91.4375,"9-Jun"
"403",464,"D","FEMI","ACWR",120,28.875,"20-Jun"
"404",464,"D","FEMI","ACWR",120,14.4375,"9-Jun"
"405",464,"D","FEMI","ACWR",100,86.625,"9-Jun"
"406",467,"W","PLER","ACWR",115,163.625,"9-Jun"
"407",468,"W","HOMU","ACWR",7,28.875,"9-Jun"
"408",468,"W","HOMU","ACWR",8,649.6875,"20-Jun"
"409",468,"W","HOMU","ACWR",10,182.875,"20-Jun"
"410",470,"W","FEMI","ACWR",95,750.75,"20-Jun"
"411",470,"W","FEMI","ACWR",46,808.5,"20-Jun"
"412",470,"W","FEMI","ACWR",46,182.875,"20-Jun"
"413",470,"W","FEMI","ACWR",46,380.1875,"20-Jun"
"414",470,"W","FEMI","ACWR",26,572.6875,"20-Jun"
"415",475,"D","HOMU","ACWR",16,91.4375,"20-Jun"
"416",475,"D","HOMU","ACWR",25,250.25,"20-Jun"
"417",475,"D","HOMU","ACWR",17,221.375,"9-Jun"
"418",475,"D","HOMU","ACWR",8,91.4375,"20-Jun"
"419",477,"W","ACWR","ACWR",30,288.75,"20-Jun"
"420",477,"W","ACWR","ACWR",30,534.1875,"20-Jun"
"421",477,"W","ACWR","ACWR",30,240.625,"20-Jun"
"422",477,"W","ACWR","ACWR",30,202.125,"20-Jun"
"423",477,"W","HOMU","ACWR",22,202.125,"20-Jun"
"424",477,"W","HOMU","ACWR",15,62.5625,"9-Jun"
"425",477,"W","HOMU","ACWR",8,351.3125,"9-Jun"
"426",477,"W","HOMU","ACWR",2,370.5625,"9-Jun"
"427",477,"W","HOMU","ACWR",12,360.9375,"9-Jun"
"428",478,"W","PLER","ACWR",150,110.6875,"9-Jun"
"429",478,"W","PLER","ACWR",150,33.6875,"9-Jun"
"430",478,"W","PLER","ACWR",150,24.0625,"9-Jun"
"431",478,"W","PLER","ACWR",130,86.625,"1-Jun"
